Date,State/UnionTerritory,Confirmed
21/05/20,Chhattisgarh,115
21/05/20,Dadar Nagar Haveli,1
21/05/20,Delhi,11088
21/05/20,Goa,50
21/05/20,Gujarat,12537
21/05/20,Haryana,993
21/05/20,Himachal Pradesh,110
21/05/20,Jammu and Kashmir,1390
21/05/20,Jharkhand,231
21/05/20,Karnataka,1462
21/05/20,Kerala,666
21/05/20,Ladakh,44
21/05/20,Madhya Pradesh,5735
21/05/20,Maharashtra,39297
21/05/20,Manipur,25
21/05/20,Meghalaya,14
21/05/20,Mizoram,1
21/05/20,Odisha,1052
21/05/20,Puducherry,18
21/05/20,Punjab,2005
21/05/20,Rajasthan,6015
21/05/20,Tamil Nadu,13191
21/05/20,Telengana,1661
21/05/20,Tripura,173
21/05/20,Uttarakhand,122
21/05/20,Uttar Pradesh,5175
21/05/20,West Bengal,3103
21/05/20,Cases being reassigned to states,1403
22/05/20,Andaman and Nicobar Islands,33
22/05/20,Andhra Pradesh,2647
22/05/20,Arunachal Pradesh,1
22/05/20,Assam,203
22/05/20,Bihar,1982
22/05/20,Chandigarh,217
22/05/20,Chhattisgarh,128
22/05/20,Dadar Nagar Haveli,1
22/05/20,Delhi,11659
22/05/20,Goa,52
22/05/20,Gujarat,12905
22/05/20,Haryana,1031
22/05/20,Himachal Pradesh,152
22/05/20,Jammu and Kashmir,1449
22/05/20,Jharkhand,290
22/05/20,Karnataka,1605
22/05/20,Kerala,690
22/05/20,Ladakh,44
22/05/20,Madhya Pradesh,5981
22/05/20,Maharashtra,41642
22/05/20,Manipur,25
22/05/20,Meghalaya,14
22/05/20,Mizoram,1
22/05/20,Odisha,1103
22/05/20,Puducherry,20
22/05/20,Punjab,2028
22/05/20,Rajasthan,6227
22/05/20,Tamil Nadu,13967
22/05/20,Telengana,1699
22/05/20,Tripura,173
22/05/20,Uttarakhand,146
22/05/20,Uttar Pradesh,5515
22/05/20,West Bengal,3197
22/05/20,Cases being reassigned to states,1620
23/05/20,Andaman and Nicobar Islands,33
23/05/20,Andhra Pradesh,2709
23/05/20,Arunachal Pradesh,1
